trial,n_targets,n_intercepts,n_misses,success_rate,avg_miss_dist_m,avg_flight_time_s,interceptors_expended,duration_s
0,4,3,1,0.75,19.241403242843052,8.183333333333325,12,250.0000000000226
1,4,1,3,0.25,29.480685285486274,4.099999999999993,14,250.0000000000226
2,4,1,3,0.25,26.742165032989227,10.15000000000001,7,250.0000000000226
3,4,2,2,0.5,21.260487106319097,8.749999999999993,19,250.0000000000226
4,4,1,3,0.25,20.444397802057665,7.79999999999998,15,250.0000000000226
5,4,3,1,0.75,18.408780148558378,5.616666666666667,17,160.7000000000023
6,4,2,2,0.5,15.225090494939806,8.949999999999992,15,250.0000000000226
7,4,2,2,0.5,11.343828516348506,9.124999999999995,9,130.74999999999548
8,4,3,1,0.75,25.094908414382882,8.800000000000002,16,250.0000000000226
9,4,1,3,0.25,28.8522385224139,10.050000000000008,8,96.54999999999666
10,4,2,2,0.5,19.254937886328925,8.774999999999999,16,250.0000000000226
11,4,1,3,0.25,27.79732658977037,4.549999999999992,10,250.0000000000226
12,4,1,3,0.25,22.204858872418523,10.650000000000016,14,250.0000000000226
13,4,0,4,0.0,,,10,250.0000000000226
14,4,3,1,0.75,27.30507197997727,7.099999999999999,14,152.4000000000004
15,4,2,2,0.5,16.900733249166677,8.024999999999997,9,250.0000000000226
16,4,0,4,0.0,,,14,250.0000000000226
17,4,1,3,0.25,2.4527758242740614,34.1000000000002,6,250.0000000000226
18,4,0,4,0.0,,,11,250.0000000000226
19,4,3,1,0.75,26.24645937276506,7.149999999999987,12,143.5499999999984
20,4,2,2,0.5,20.811879286183498,5.949999999999987,17,250.0000000000226
21,4,2,2,0.5,12.532109728596367,5.549999999999988,16,250.0000000000226
22,4,1,3,0.25,8.536005328232411,33.00000000000026,11,250.0000000000226
23,4,1,3,0.25,26.400508769493122,8.04999999999998,9,106.09999999999611
24,4,1,3,0.25,28.195270575684503,8.299999999999983,17,250.0000000000226
25,4,2,2,0.5,25.439148197605363,5.27499999999999,12,156.3000000000013
26,4,3,1,0.75,11.90376436943375,8.283333333333337,15,250.0000000000226
27,4,1,3,0.25,3.337239994962941,3.7499999999999947,23,250.0000000000226
28,4,1,3,0.25,27.42661315207914,2.5999999999999988,12,250.0000000000226
29,4,3,1,0.75,19.771213165777098,6.9833333333333165,13,137.34999999999698
30,4,0,4,0.0,,,12,250.0000000000226
31,4,1,3,0.25,28.504159788343582,7.84999999999998,8,250.0000000000226
32,4,3,1,0.75,22.373639828997796,8.016666666666664,11,250.0000000000226
33,4,1,3,0.25,22.602275565968373,10.750000000000018,14,250.0000000000226
34,4,2,2,0.5,20.04875172469487,18.47500000000012,16,250.0000000000226
35,4,2,2,0.5,16.66752275140722,9.600000000000005,9,144.34999999999857
36,4,1,3,0.25,21.128390678773243,5.949999999999987,19,250.0000000000226
37,4,0,4,0.0,,,6,250.0000000000226
38,4,2,2,0.5,14.186098172966787,8.874999999999993,9,141.3999999999979
39,4,3,1,0.75,23.04252853313004,18.633333333333358,8,150.75000000000003
40,4,0,4,0.0,,,13,250.0000000000226
41,4,1,3,0.25,25.248077504128464,4.94999999999999,11,141.799999999998
42,4,2,2,0.5,21.21057349174905,6.974999999999994,10,250.0000000000226
43,4,3,1,0.75,16.492581591547488,6.91666666666665,13,157.10000000000147
44,4,2,2,0.5,14.58819455004016,6.149999999999986,12,130.3999999999954
45,4,2,2,0.5,8.911261939501877,35.35000000000013,11,250.0000000000226
46,4,3,1,0.75,24.586146402827982,5.5833333333333215,16,156.85000000000142
47,4,2,2,0.5,22.353065117067793,5.874999999999997,20,250.0000000000226
48,4,3,1,0.75,21.373301749489887,5.4166666666666545,16,164.60000000000318
49,4,0,4,0.0,,,9,250.0000000000226
50,4,1,3,0.25,29.67469551495636,8.09999999999998,9,135.29999999999652
51,4,4,0,1.0,23.327967658805807,7.42500000000001,18,173.25000000000514
52,4,1,3,0.25,6.278604595751992,9.5,14,250.0000000000226
53,4,1,3,0.25,11.344694194175323,9.399999999999999,7,250.0000000000226
54,4,3,1,0.75,19.724369961078988,16.800000000000036,16,250.0000000000226
55,4,3,1,0.75,18.47723670783481,8.983333333333336,9,250.0000000000226
56,4,0,4,0.0,,,12,250.0000000000226
57,4,3,1,0.75,25.488127563510776,7.666666666666647,13,250.0000000000226
58,4,1,3,0.25,22.123022648017766,3.349999999999996,14,250.0000000000226
59,4,2,2,0.5,20.50280228473352,5.624999999999988,13,250.0000000000226
60,4,1,3,0.25,14.06474815439059,3.1999999999999966,12,250.0000000000226
61,4,0,4,0.0,,,14,250.0000000000226
62,4,1,3,0.25,27.064218784562456,8.949999999999992,16,250.0000000000226
63,4,2,2,0.5,18.540646816229085,4.149999999999993,14,250.0000000000226
64,4,1,3,0.25,20.226543434423032,3.949999999999994,19,250.0000000000226
65,4,3,1,0.75,17.13580496133474,6.733333333333334,21,250.0000000000226
66,4,1,3,0.25,26.404174944995393,3.599999999999995,14,250.0000000000226
67,4,2,2,0.5,23.817558304179045,4.049999999999994,21,250.0000000000226
68,4,3,1,0.75,12.676167209662554,17.71666666666669,11,250.0000000000226
69,4,2,2,0.5,17.224194241247524,2.799999999999998,19,168.7000000000041
70,4,1,3,0.25,8.512331069428662,11.000000000000021,14,250.0000000000226
71,4,0,4,0.0,,,13,250.0000000000226
72,4,3,1,0.75,20.322183144617707,4.1833333333333265,20,154.00000000000077
73,4,3,1,0.75,16.252281070058856,7.133333333333328,14,250.0000000000226
74,4,0,4,0.0,,,5,250.0000000000226
75,4,1,3,0.25,29.71373194616667,9.800000000000004,14,250.0000000000226
76,4,0,4,0.0,,,11,250.0000000000226
77,4,1,3,0.25,16.597930957510602,4.94999999999999,15,250.0000000000226
78,4,1,3,0.25,23.99312738877058,37.74999999999999,6,250.0000000000226
79,4,2,2,0.5,19.702349124832875,23.42499999999996,12,250.0000000000226
80,4,0,4,0.0,,,7,250.0000000000226
81,4,1,3,0.25,11.365486910436521,5.399999999999989,11,154.2000000000008
82,4,3,1,0.75,17.943938914664834,16.049999999999972,13,250.0000000000226
83,4,1,3,0.25,14.651920267863495,33.60000000000023,12,250.0000000000226
84,4,0,4,0.0,,,9,250.0000000000226
85,4,0,4,0.0,,,7,250.0000000000226
86,4,3,1,0.75,16.901199649845896,16.56666666666664,19,250.0000000000226
87,4,0,4,0.0,,,14,250.0000000000226
88,4,2,2,0.5,11.757277454381445,4.94999999999999,14,151.25000000000014
89,4,3,1,0.75,15.486050595211104,4.683333333333325,18,164.95000000000326
90,4,0,4,0.0,,,16,250.0000000000226
91,4,2,2,0.5,20.66796390706753,6.599999999999989,11,250.0000000000226
92,4,2,2,0.5,17.02455230333924,6.699999999999987,17,250.0000000000226
93,4,0,4,0.0,,,17,250.0000000000226
94,4,0,4,0.0,,,8,40.99999999999981
95,4,1,3,0.25,24.8158538912108,9.299999999999997,13,250.0000000000226
96,4,2,2,0.5,25.650378322111436,7.625000000000005,23,250.0000000000226
97,4,1,3,0.25,25.84487483767397,10.050000000000008,14,250.0000000000226
98,4,3,1,0.75,22.133917606684715,6.8166666666666655,14,167.70000000000388
99,4,1,3,0.25,20.724662994752535,3.999999999999994,12,250.0000000000226
