[2026-03-20 16:38:24] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:38:34] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:53:56] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:56:51] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:57:16] INFO     quant.cache — 캐시 전체 삭제: 0개 파일
[2026-03-20 16:57:26] WARNING  quant.data — 현대로템: yfinance 데이터 없음
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:57:46] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 시작: 005930.KS — 99개 ROI 샘플
[2026-03-20 16:57:46] INFO     quant.trainer —   이미지 shape: (99, 1, 64, 64)
[2026-03-20 16:57:46] INFO     quant.trainer —   TS 피처 shape: (99, 32)
[2026-03-20 16:57:49] INFO     quant.trainer — Epoch   1/100 | Train: 0.213124 | Val: 0.035098 | 경과: 1s
[2026-03-20 16:57:49] INFO     quant.trainer — Epoch   2/100 | Train: -0.205925 | Val: -0.628754 | 경과: 1s
[2026-03-20 16:57:49] INFO     quant.trainer — Epoch   3/100 | Train: -0.666589 | Val: -0.997736 | 경과: 2s
[2026-03-20 16:57:50] INFO     quant.trainer — Epoch   4/100 | Train: -0.928486 | Val: -1.466210 | 경과: 2s
[2026-03-20 16:57:50] INFO     quant.trainer — Epoch   5/100 | Train: -0.439938 | Val: -1.482151 | 경과: 2s
[2026-03-20 16:57:51] INFO     quant.trainer — Epoch   6/100 | Train: -1.043813 | Val: -1.282462 | 경과: 3s
[2026-03-20 16:57:51] INFO     quant.trainer — Epoch   7/100 | Train: -1.077781 | Val: -1.043956 | 경과: 3s
[2026-03-20 16:57:51] INFO     quant.trainer — Epoch   8/100 | Train: -1.273846 | Val: -1.170145 | 경과: 3s
[2026-03-20 16:57:51] INFO     quant.trainer — Epoch   9/100 | Train: -1.354556 | Val: -1.494210 | 경과: 3s
[2026-03-20 16:57:51] INFO     quant.trainer — Epoch  10/100 | Train: -1.359561 | Val: -1.791630 | 경과: 4s
[2026-03-20 16:57:52] INFO     quant.trainer — Epoch  11/100 | Train: -1.588683 | Val: -2.047309 | 경과: 4s
[2026-03-20 16:57:54] INFO     quant.trainer — Epoch  12/100 | Train: -1.662130 | Val: -2.178775 | 경과: 6s
[2026-03-20 16:57:54] INFO     quant.trainer — Epoch  13/100 | Train: -1.375787 | Val: -2.094188 | 경과: 6s
[2026-03-20 16:57:54] INFO     quant.trainer — Epoch  14/100 | Train: -1.407684 | Val: -1.996581 | 경과: 6s
[2026-03-20 16:57:54] INFO     quant.trainer — Epoch  15/100 | Train: -1.661167 | Val: -1.903100 | 경과: 7s
[2026-03-20 16:57:54] INFO     quant.trainer — Epoch  16/100 | Train: -1.448465 | Val: -1.969785 | 경과: 7s
[2026-03-20 16:57:55] INFO     quant.trainer — Epoch  17/100 | Train: -1.724260 | Val: -2.041012 | 경과: 7s
[2026-03-20 16:57:55] INFO     quant.trainer — Epoch  18/100 | Train: -1.628761 | Val: -2.156698 | 경과: 7s
[2026-03-20 16:57:55] INFO     quant.trainer — Epoch  19/100 | Train: -1.816847 | Val: -2.255240 | 경과: 7s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  20/100 | Train: -1.710022 | Val: -2.326629 | 경과: 8s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  21/100 | Train: -1.759470 | Val: -2.215487 | 경과: 8s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  22/100 | Train: -1.721376 | Val: -2.229710 | 경과: 8s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  23/100 | Train: -1.807047 | Val: -2.279342 | 경과: 8s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  24/100 | Train: -1.715457 | Val: -2.181535 | 경과: 8s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  25/100 | Train: -1.824528 | Val: -2.159975 | 경과: 9s
[2026-03-20 16:57:56] INFO     quant.trainer — Epoch  26/100 | Train: -1.888359 | Val: -2.245898 | 경과: 9s
[2026-03-20 16:57:57] INFO     quant.trainer — Epoch  27/100 | Train: -1.782422 | Val: -2.321877 | 경과: 9s
